,City,CO,NO2,O3,SO2,PM2.5,PM10
100,South San Francisco,230.31,1.39,88.69,1.06,4.88,10.79
101,Portsmouth,230.31,14.22,20.92,5.54,2.42,2.89
102,Norwalk,253.68,9.08,60.08,1.1,2.74,3.37
103,Alhambra,427.25,25.02,251.77,13.23,46.77,54.06
104,Carson,367.17,19.54,168.8,5.07,24.12,29.99
105,Everett,263.69,5.4,55.08,2.18,3.47,4.7
106,Citrus Heights,283.72,5.06,167.37,2.0,23.73,27.6
107,North Little Rock,283.72,10.11,76.53,1.42,4.64,5.96
108,Atascocita,343.8,28.45,94.41,3.07,9.09,11.78
109,Erie,270.37,7.45,49.35,2.83,6.07,6.28
110,Fresno,283.72,6.86,151.63,2.65,20.29,25.1
111,Jacksonville,206.95,1.65,79.39,0.19,1.41,1.73
112,High Point,277.04,7.45,47.21,0.69,5.81,6.13
113,Pearland,273.71,10.28,115.87,5.07,6.66,8.74
114,Brownsville,247.0,5.57,120.16,3.61,9.98,12.01
115,Denton,240.33,9.0,42.56,0.38,2.45,3.3
116,San Bernardino,400.54,7.71,300.41,10.97,62.44,68.51
117,Mesquite,520.71,45.93,23.25,1.59,6.37,10.18
118,Sioux Falls,206.95,1.71,72.96,0.35,2.55,4.67
119,Charleston,230.31,2.91,75.1,0.57,4.3,4.48
120,Redwood City,223.64,2.12,90.84,1.03,5.85,11.2
121,Paradise,253.68,15.94,135.9,5.19,11.81,26.57
122,Upland,467.3,16.28,323.3,18.84,70.91,77.83
123,Paterson,400.54,62.38,23.25,10.13,7.46,9.46
124,Pasco,280.38,3.56,60.08,0.54,5.87,9.26
125,Lubbock,216.96,5.27,82.25,0.3,4.24,8.01
126,Schenectady,273.71,12.68,38.27,0.76,4.22,4.63
127,Worcester,247.0,8.48,56.51,0.65,2.58,3.26
128,Cedar Park,196.93,1.48,72.24,0.28,2.75,5.19
129,Pembroke Pines,216.96,2.14,91.55,0.28,4.44,7.01
130,West Covina,527.38,27.42,331.88,20.74,72.15,81.04
131,Edmond,208.62,1.95,67.95,0.09,1.68,2.59
132,Raleigh,260.35,5.27,59.37,1.18,6.05,6.35
133,Compton,320.44,16.79,150.2,4.17,16.64,21.05
134,Amarillo,191.93,1.61,81.54,0.36,3.56,6.74
135,Chesapeake,257.02,8.05,45.42,0.62,6.79,8.44
136,Glendale,247.0,6.34,107.29,2.15,6.33,7.35
137,Corona,460.63,15.08,323.3,19.31,61.2,67.82
138,Broken Arrow,473.98,43.87,32.54,1.03,6.86,8.72
139,Fort Lauderdale,257.02,13.71,80.11,1.57,4.04,6.78
140,Fayetteville,267.03,9.08,47.92,1.07,4.29,8.32
141,Hartford,263.69,9.77,53.64,0.97,2.64,3.35
142,Athens-Clarke County unified government,223.64,1.89,66.52,0.75,2.57,3.27
143,Warwick,307.08,15.25,0.0,3.37,7.46,8.07
144,Charlotte,270.37,4.46,45.06,0.62,6.95,7.51
145,Jersey City,340.46,44.55,39.7,8.23,5.13,6.89
146,Westminster,260.35,30.5,0.53,8.23,5.25,5.92
147,Long Beach,277.04,12.0,128.75,6.97,12.89,17.18
148,Coral Springs,208.62,0.64,92.98,0.18,5.57,8.65
149,Spokane Valley,240.33,4.58,77.96,1.13,5.24,8.78
150,Mayagüez,257.02,0.25,21.28,0.23,1.39,1.88
151,San Diego,257.02,4.97,141.62,3.13,18.1,24.1
152,Chandler,257.02,8.48,170.23,3.93,13.44,23.3
153,Pine Hills,210.29,2.12,88.69,0.29,2.93,4.43
154,Tulsa,440.6,38.04,27.9,2.44,5.65,6.81
155,Hawthorne,320.44,16.79,150.2,4.17,16.64,21.05
156,Portland,270.37,7.88,44.35,2.71,4.33,5.52
157,Tampa,213.62,2.08,91.55,0.59,2.91,5.1
158,Arlington,283.72,13.37,77.25,1.39,3.43,4.9
159,Sunrise Manor,270.37,21.94,124.45,6.5,12.13,29.27
160,Longmont,240.33,5.44,104.43,1.71,5.96,6.67
161,Macon,247.0,3.09,72.96,2.15,5.18,5.64
162,Arden-Arcade,273.71,5.74,161.65,2.41,21.49,24.93
163,Redlands,397.21,9.85,263.21,9.54,56.02,63.19
164,Anchorage,260.35,0.16,60.8,0.02,0.5,1.09
165,Missoula,223.64,4.71,45.78,0.08,5.47,9.5
166,Mobile,230.31,2.91,83.69,0.97,4.22,5.18
167,Newton,293.73,18.85,41.49,2.41,3.92,7.74
168,Baton Rouge,247.0,5.57,100.14,3.28,6.2,7.34
169,Cincinnati,257.02,10.97,49.35,3.87,2.66,2.95
170,Longview,236.99,3.43,127.32,6.38,9.18,12.41
171,Santa Rosa,226.97,1.71,111.58,0.54,9.93,12.69
172,Fairfield,223.64,1.35,113.01,0.39,9.41,12.46
173,Centennial,380.52,40.1,85.12,7.03,8.41,9.96
174,Fremont,263.69,10.37,108.72,3.46,10.16,15.43
175,New Braunfels,230.31,4.88,74.39,0.31,2.54,4.53
176,Elk Grove,257.02,6.26,150.2,2.12,15.58,17.84
177,Norfolk,413.9,39.07,47.21,2.59,7.83,10.18
178,Pompano Beach,226.97,5.23,87.26,0.51,6.88,9.94
179,Redondo Beach,367.17,19.54,168.8,5.07,24.12,29.99
180,Jackson,230.31,4.46,90.84,1.59,4.41,5.73
181,Saint Petersburg,323.77,18.85,43.99,20.27,1.16,1.94
182,Casas Adobes,203.61,1.15,118.73,0.69,6.27,16.14
183,Gilbert,226.97,5.48,145.91,2.59,8.82,17.46
184,Fargo,223.64,1.78,70.1,0.51,2.38,3.19
185,Kansas City,293.73,15.77,72.24,4.53,5.98,7.65
186,Berkeley,247.0,5.01,88.69,2.09,5.07,10.53
187,Santa Clara,317.1,12.51,153.07,4.53,22.79,27.94
188,Maple Grove,236.99,4.28,68.67,0.68,3.72,4.46
189,Lynchburg,253.68,3.38,46.49,0.74,5.22,5.39
190,Yonkers,373.84,50.04,30.4,6.97,5.55,8.57
191,Toms River,223.64,4.63,89.41,0.61,1.68,2.14
192,Cambridge,236.99,21.76,1.11,1.83,3.12,3.67
193,Spring Valley,350.48,23.31,86.55,1.25,6.64,9.15
194,Wilmington,267.03,13.37,60.8,2.44,2.69,3.53
195,Edinburg,240.33,1.86,64.37,0.72,2.19,3.05
196,Abilene,213.62,3.0,70.1,0.38,4.01,6.99
197,Bismarck,216.96,2.79,72.96,3.7,1.04,1.33
198,Lawton,226.97,2.49,85.12,0.28,4.16,5.01
199,Rockford,236.99,6.68,31.47,0.02,1.19,1.74
200,Redding,206.95,1.74,111.58,0.25,4.74,7.01
201,Johnson City,240.33,3.64,41.49,0.75,2.32,2.41
202,San Tan Valley,210.29,1.97,108.72,0.48,5.96,14.8
203,Provo,230.31,7.8,86.55,2.0,9.24,13.12
204,Deerfield Beach,236.99,8.65,75.82,0.52,6.0,9.71
205,Alexandria,297.07,43.18,24.68,35.76,92.47,109.56
206,East Los Angeles,427.25,25.02,251.77,13.23,46.77,54.06
207,Warren,290.39,9.85,33.98,1.25,3.28,3.67
208,Auburn,233.65,1.67,90.12,1.82,5.79,6.41
209,Kissimmee,205.28,1.27,95.84,0.23,2.96,4.43
210,Grand Prairie,494.0,56.21,25.75,1.42,5.78,8.84
211,Chattanooga,216.96,0.93,86.55,1.7,2.83,3.03
212,Ontario,423.91,12.0,280.38,14.66,53.85,59.32
213,Visalia,297.07,8.23,118.73,0.95,20.31,25.48
214,Clarksville,223.64,3.13,83.69,0.53,1.94,2.12
215,Kennewick,290.39,5.18,49.35,0.44,6.35,9.58
216,Pasadena,347.14,22.28,170.23,8.94,24.68,29.08
217,Saint George,357.15,3.3,75.1,1.49,2.78,5.28
218,Davie,206.95,1.35,92.98,0.22,3.14,5.85
