,City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
767,Phoenix,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ,Asian,66403
768,Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,Asian,7913
769,Moreno Valley,California,30.7,98584.0,105597.0,204181,8529.0,54442.0,3.9,CA,White,90391
770,Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,American Indian and Alaska Native,5592
771,Yorba Linda,California,45.5,31960.0,36006.0,67966,3171.0,15532.0,3.0,CA,Black or African-American,1326
772,Redwood City,California,37.1,42676.0,42624.0,85300,2430.0,27652.0,2.64,CA,American Indian and Alaska Native,664
773,Hayward,California,34.3,78152.0,80148.0,158300,4385.0,60970.0,3.32,CA,Asian,46285
774,San Mateo,California,39.3,50966.0,52558.0,103524,2730.0,34957.0,2.64,CA,Asian,30573
775,Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,5199.0,8948.0,2.6,TN,Black or African-American,22651
776,Woodbury,Minnesota,37.7,31982.0,35868.0,67850,2732.0,9477.0,2.719999999999999,MN,Black or African-American,6054
777,Conroe,Texas,31.5,34907.0,33685.0,68592,4871.0,13839.0,2.65,TX,Black or African-American,6713
778,Dearborn,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,Asian,4134
779,Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17,MI,White,90173
780,Cincinnati,Ohio,32.7,143654.0,154883.0,298537,13699.0,16896.0,2.08,OH,Hispanic or Latino,9121
781,Bayamón,Puerto Rico,39.4,80128.0,90131.0,170259,,,,PR,Hispanic or Latino,169155
782,East Los Angeles,California,32.6,60460.0,59206.0,119666,1101.0,49575.0,3.75,CA,White,48980
783,South Bend,Indiana,32.4,50483.0,53274.0,103757,3708.0,8779.0,2.719999999999999,IN,Black or African-American,30005
784,Hammond,Indiana,36.0,38923.0,38687.0,77610,4144.0,9224.0,2.61,IN,White,41705
785,Carson,California,40.4,43790.0,49506.0,93296,4273.0,33860.0,3.7,CA,Hispanic or Latino,32938
786,Davis,California,26.3,33493.0,34163.0,67656,2176.0,13997.0,2.69,CA,White,47997
787,Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,12416.0,34003.0,2.91,FL,Hispanic or Latino,34240
788,Bossier City,Louisiana,32.7,33428.0,34669.0,68097,8108.0,2980.0,2.4,LA,Hispanic or Latino,5589
789,Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.719999999999999,CA,Hispanic or Latino,121196
790,Asheville,North Carolina,37.9,42100.0,46407.0,88507,4973.0,6630.0,2.18,NC,Asian,1939
791,Washington,District of Columbia,33.8,319705.0,352523.0,672228,25963.0,95117.0,2.24,DC,Asian,35072
792,Yuba City,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,White,48746
793,Temple,Texas,33.6,33512.0,38785.0,72297,7333.0,3968.0,2.59,TX,White,54698
794,Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,Asian,4561
795,Napa,California,37.2,39828.0,40601.0,80429,4678.0,18449.0,2.84,CA,American Indian and Alaska Native,1751
796,New York,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY,American Indian and Alaska Native,90923
797,Overland Park,Kansas,38.2,93355.0,93156.0,186511,10461.0,21407.0,2.41,KS,Hispanic or Latino,10104
798,Baldwin Park,California,35.8,38747.0,38309.0,77056,780.0,34322.0,4.13,CA,American Indian and Alaska Native,316
799,Union City,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA,American Indian and Alaska Native,243
800,Lakeland,Florida,38.1,47840.0,56570.0,104410,7390.0,11592.0,2.56,FL,Hispanic or Latino,16501
801,Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4,WI,Asian,4202
802,Laguna Niguel,California,45.8,30193.0,35619.0,65812,2648.0,12571.0,2.58,CA,Asian,8499
803,Kennewick,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA,Hispanic or Latino,19395
804,Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,Hispanic or Latino,2811
805,Joliet,Illinois,33.1,70863.0,79162.0,150025,7353.0,22409.0,3.13,IL,Asian,2813
806,Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,Black or African-American,40507
807,College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,Hispanic or Latino,17784
808,Canton,Ohio,33.4,34476.0,37419.0,71895,3404.0,2204.0,2.32,OH,American Indian and Alaska Native,358
809,Peoria,Illinois,33.1,56229.0,62432.0,118661,6634.0,7517.0,2.4,IL,Black or African-American,36333
810,Rockford,Illinois,36.3,71076.0,78270.0,149346,8894.0,18323.0,2.52,IL,White,107148
811,Bk,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,Black or African-American,4729
812,Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,American Indian and Alaska Native,374
813,Denton,Texas,28.7,62478.0,68569.0,131047,6352.0,18451.0,2.66,TX,American Indian and Alaska Native,1857
814,Miami Beach,Florida,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1,FL,White,72180
815,Modesto,California,35.2,104852.0,106405.0,211257,9855.0,39613.0,2.969999999999999,CA,Asian,19417
816,Southfield,Michigan,41.6,31369.0,41808.0,73177,4035.0,4011.0,2.27,MI,Asian,1345
817,Portland,Oregon,36.7,313516.0,318671.0,632187,29940.0,86041.0,2.43,OR,Asian,64386
818,Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,American Indian and Alaska Native,881
819,Fishers,Indiana,34.5,42161.0,43910.0,86071,2469.0,6138.0,2.8,IN,Hispanic or Latino,3409
820,Victoria,Texas,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7,TX,Asian,2032
821,Des Moines,Iowa,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41,IA,Black or African-American,26353
822,Pasco,Washington,28.6,35298.0,32799.0,68097,2052.0,16265.0,3.45,WA,Asian,2215
823,Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA,American Indian and Alaska Native,1575
824,Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL,Black or African-American,12671
825,Boulder,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,White,98243
826,Bloomington,Indiana,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33,IN,Hispanic or Latino,3643
827,Palm Bay,Florida,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.8200000000000003,FL,Black or African-American,20891
828,Henderson,Nevada,42.5,139412.0,146246.0,285658,25045.0,35666.0,2.55,NV,White,234301
829,The Villages,Florida,70.5,,,72590,15231.0,4034.0,,FL,Black or African-American,331
830,Oxnard,California,31.0,101906.0,105346.0,207252,6367.0,78678.0,4.08,CA,American Indian and Alaska Native,6241
831,West Valley City,Utah,30.7,68235.0,67989.0,136224,4880.0,30712.0,3.81,UT,American Indian and Alaska Native,4851
832,Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,Asian,5561
833,Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,Asian,2788
834,Raleigh,North Carolina,32.8,219184.0,232765.0,451949,16747.0,65125.0,2.42,NC,Black or African-American,138242
835,Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ,Asian,3009
836,Bloomington,Indiana,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33,IN,Asian,9801
837,Deltona,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,White,75686
838,Fayetteville,North Carolina,30.7,101051.0,100914.0,201965,28089.0,12863.0,2.5,NC,American Indian and Alaska Native,6603
839,New Braunfels,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,Hispanic or Latino,22522
840,North Charleston,South Carolina,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.8200000000000003,SC,Asian,4181
841,Carrollton,Texas,36.9,66928.0,66218.0,133146,5720.0,35327.0,2.78,TX,American Indian and Alaska Native,812
842,Woodbury,Minnesota,37.7,31982.0,35868.0,67850,2732.0,9477.0,2.719999999999999,MN,Asian,7758
843,Merced,California,29.7,40048.0,42392.0,82440,3723.0,16348.0,3.15,CA,Hispanic or Latino,43684
844,Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,Asian,2787
845,Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,American Indian and Alaska Native,2993
846,Salt Lake City,Utah,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38,UT,Black or African-American,5365
847,Westminster,California,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27,CA,American Indian and Alaska Native,1022
848,Columbia,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD,Asian,17821
849,Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,Asian,13981
850,Sandy,Utah,34.6,46923.0,46689.0,93612,3451.0,6691.0,3.22,UT,White,85130
851,Lincoln,Nebraska,32.3,138544.0,138802.0,277346,14694.0,22958.0,2.4,NE,American Indian and Alaska Native,4281
852,Bayonne,New Jersey,39.7,32705.0,33598.0,66303,2225.0,21899.0,2.62,NJ,Hispanic or Latino,19525
853,Homestead,Florida,31.4,31401.0,35099.0,66500,2287.0,24408.0,3.48,FL,White,48820
854,Jackson,Tennessee,35.3,30007.0,36973.0,66980,3529.0,2097.0,2.52,TN,American Indian and Alaska Native,564
855,Tucson,Arizona,33.6,264893.0,266781.0,531674,38182.0,82220.0,2.45,AZ,Black or African-American,33900
856,Waukegan,Illinois,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92,IL,White,65629
857,Topeka,Kansas,37.1,60879.0,66378.0,127257,9608.0,6711.0,2.32,KS,American Indian and Alaska Native,4804
858,Charleston,South Carolina,35.0,63956.0,71568.0,135524,9368.0,5767.0,2.4,SC,Hispanic or Latino,3929
859,Camarillo,California,40.8,31941.0,35682.0,67623,4384.0,9735.0,2.77,CA,American Indian and Alaska Native,742
860,North Charleston,South Carolina,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.8200000000000003,SC,Hispanic or Latino,12975
861,Kirkland,Washington,40.8,42159.0,45108.0,87267,5156.0,18570.0,2.3,WA,Asian,15277
862,Richmond,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA,American Indian and Alaska Native,4902
863,Clarksville,Tennessee,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64,TN,Asian,6348
864,Franklin,Tennessee,38.3,34991.0,37644.0,72635,3303.0,6876.0,2.73,TN,White,61459
865,Lafayette,Louisiana,31.7,64018.0,63643.0,127661,5206.0,5396.0,2.54,LA,White,85282
866,Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,5083.0,13824.0,2.41,NM,American Indian and Alaska Native,2960
867,Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,Black or African-American,85606
868,Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ,American Indian and Alaska Native,797
869,Norfolk,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA,Black or African-American,107893
870,Augusta-Richmond County consolidated government,Georgia,33.7,94662.0,101917.0,196579,19085.0,7915.0,2.67,GA,White,77940
871,Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,Black or African-American,25327
872,Plano,Texas,38.1,138565.0,145054.0,283619,11719.0,74030.0,2.65,TX,American Indian and Alaska Native,3771
873,Boston,Massachusetts,31.8,322149.0,347320.0,669469,18350.0,190123.0,2.38,MA,Black or African-American,189347
874,Johns Creek,Georgia,39.0,40282.0,43057.0,83339,1983.0,29000.0,3.19,GA,White,48414
875,Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,White,50652
876,Tallahassee,Florida,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38,FL,American Indian and Alaska Native,1368
877,Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,2495.0,27757.0,2.06,MA,Hispanic or Latino,9433
878,Skokie,Illinois,43.4,31382.0,33437.0,64819,1066.0,27424.0,2.78,IL,Black or African-American,4937
879,Carmichael,California,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39,CA,Asian,4205
880,San Antonio,Texas,33.1,721405.0,748419.0,1469824,109089.0,208046.0,2.93,TX,American Indian and Alaska Native,20752
881,New York,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY,White,3835726
882,Simi Valley,California,39.0,63243.0,63523.0,126766,6063.0,23260.0,3.13,CA,Hispanic or Latino,34032
883,Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47,NC,Black or African-American,87480
884,Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,4755.0,2413.0,2.29,SC,Black or African-American,28204
885,Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,White,111477
886,Modesto,California,35.2,104852.0,106405.0,211257,9855.0,39613.0,2.969999999999999,CA,Black or African-American,9869
887,Dallas,Texas,32.6,639019.0,661063.0,1300082,41026.0,326825.0,2.59,TX,Asian,47099
888,Springfield,Missouri,34.1,81057.0,85741.0,166798,12291.0,7765.0,2.12,MO,White,151686
889,Portland,Maine,40.3,31480.0,35392.0,66872,3666.0,9229.0,2.13,ME,Black or African-American,5750
890,Baldwin Park,California,35.8,38747.0,38309.0,77056,780.0,34322.0,4.13,CA,Hispanic or Latino,56282
891,Laredo,Texas,28.8,124305.0,131484.0,255789,4921.0,68427.0,3.66,TX,Black or African-American,832
892,Hesperia,California,29.4,43588.0,49698.0,93286,3739.0,16667.0,3.52,CA,Asian,2131
893,East Los Angeles,California,32.6,60460.0,59206.0,119666,1101.0,49575.0,3.75,CA,Asian,1053
894,Cary,North Carolina,39.9,78932.0,81582.0,160514,7426.0,30008.0,2.61,NC,American Indian and Alaska Native,1752
895,Whittier,California,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11,CA,American Indian and Alaska Native,680
896,Parma,Ohio,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42,OH,American Indian and Alaska Native,876
897,Eagan,Minnesota,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49,MN,White,52612
898,Lauderhill,Florida,35.7,32813.0,38761.0,71574,1965.0,25471.0,3.02,FL,Asian,2662
899,Pine Hills,Florida,29.2,35344.0,40737.0,76081,2594.0,20735.0,3.3,FL,Black or African-American,57089
900,Huntington Beach,California,41.6,99967.0,101960.0,201927,10454.0,35368.0,2.67,CA,White,156071
901,Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ,Hispanic or Latino,86456
902,Carmel,Indiana,39.9,42928.0,46101.0,89029,2723.0,9645.0,2.71,IN,White,77178
903,Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,Hispanic or Latino,180241
904,Bellingham,Washington,30.7,41286.0,43857.0,85143,4703.0,8713.0,2.44,WA,Black or African-American,2325
905,Lansing,Michigan,31.4,54333.0,59777.0,114110,5327.0,8371.0,2.39,MI,White,75688
906,Waukegan,Illinois,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92,IL,Black or African-American,11697
907,Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5012.0,5757.0,2.41,MN,Hispanic or Latino,2639
908,Delray Beach,Florida,47.9,32219.0,34042.0,66261,4232.0,16639.0,2.35,FL,White,40980
909,Albany,New York,32.8,47627.0,50825.0,98452,3643.0,11948.0,2.08,NY,Asian,8090
910,New York,New York,36.0,4081698.0,4468707.0,8550405,156961.0,3212500.0,2.68,NY,Hispanic or Latino,2485125
911,Athens-Clarke County unified government,Georgia,26.5,57415.0,65148.0,122563,3953.0,12868.0,2.44,GA,Black or African-American,34583
912,Camarillo,California,40.8,31941.0,35682.0,67623,4384.0,9735.0,2.77,CA,Black or African-American,1219
913,Modesto,California,35.2,104852.0,106405.0,211257,9855.0,39613.0,2.969999999999999,CA,White,166618
914,West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,Black or African-American,39226
915,Paterson,New Jersey,34.0,70640.0,77117.0,147757,1694.0,49810.0,3.37,NJ,White,54885
916,Clovis,California,37.8,52392.0,51780.0,104172,6173.0,13409.0,2.76,CA,Asian,14249
917,Seattle,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,Black or African-American,61974
918,Livermore,California,36.7,41522.0,46595.0,88117,3063.0,13959.0,2.91,CA,White,73440
919,Providence,Rhode Island,29.9,89090.0,90114.0,179204,4933.0,53532.0,2.719999999999999,RI,American Indian and Alaska Native,4171
920,Daly City,California,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26,CA,Asian,61918
921,Missoula,Montana,34.7,35002.0,36022.0,71024,4733.0,2771.0,2.15,MT,Black or African-American,1149
922,West Covina,California,39.8,51629.0,56860.0,108489,3800.0,37038.0,3.56,CA,Asian,32716
923,Suffolk,Virginia,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.719999999999999,VA,Black or African-American,39107
924,Omaha,Nebraska,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47,NE,Black or African-American,64223
925,Troy,Michigan,43.3,42371.0,40905.0,83276,2975.0,21004.0,2.59,MI,American Indian and Alaska Native,1677
926,Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA,Black or African-American,2925
927,El Paso,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX,Asian,12370
928,Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,White,66004
929,Riverview,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,American Indian and Alaska Native,726
930,Norwalk,Connecticut,42.4,40880.0,47603.0,88483,2877.0,22328.0,2.7,CT,White,67844
931,Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.5700000000000003,WA,Asian,22550
932,Hawthorne,California,33.7,43682.0,44762.0,88444,2123.0,32107.0,2.969999999999999,CA,American Indian and Alaska Native,906
933,Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,White,44786
934,Chino,California,36.5,50989.0,34610.0,85599,4186.0,18666.0,3.62,CA,Hispanic or Latino,45495
935,Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL,White,53037
936,Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL,Asian,9975
937,Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,Black or African-American,8054
938,New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY,White,44435
939,Deltona,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,Hispanic or Latino,31357
940,Springfield,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA,Asian,5606
941,Bellingham,Washington,30.7,41286.0,43857.0,85143,4703.0,8713.0,2.44,WA,Asian,8010
942,Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,Black or African-American,2679
943,Kansas City,Kansas,33.4,74606.0,76655.0,151261,8139.0,25507.0,2.71,KS,Black or African-American,40177
944,Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,5846.0,3755.0,2.58,MO,Asian,1271
945,Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,American Indian and Alaska Native,3577
946,Manteca,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,Asian,8172
947,Surprise,Arizona,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9,AZ,White,115419
948,Charleston,South Carolina,35.0,63956.0,71568.0,135524,9368.0,5767.0,2.4,SC,Black or African-American,29998
949,Wichita,Kansas,34.6,192354.0,197601.0,389955,23978.0,40270.0,2.56,KS,White,305910
950,Flower Mound,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX,Black or African-American,3559
951,Arlington,Virginia,34.4,113981.0,115183.0,229164,12719.0,55205.0,2.19,VA,White,171673
952,Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,White,60652
953,Florence-Graham,California,30.2,34186.0,32173.0,66359,416.0,28696.0,4.57,CA,Black or African-American,5060
954,Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,Hispanic or Latino,2738
955,Norman,Oklahoma,30.9,59483.0,60814.0,120297,5578.0,8705.0,2.47,OK,White,106409
956,Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,American Indian and Alaska Native,961
957,Newport News,Virginia,32.8,88385.0,94000.0,182385,18896.0,12589.0,2.46,VA,Black or African-American,79245
958,Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,Black or African-American,11781
959,Jersey City,New Jersey,34.3,131765.0,132512.0,264277,4374.0,109186.0,2.5700000000000003,NJ,Hispanic or Latino,79718
960,Brandon,Florida,36.1,55679.0,58289.0,113968,9417.0,16390.0,2.64,FL,American Indian and Alaska Native,1921
961,Largo,Florida,45.1,38166.0,42841.0,81007,8310.0,10489.0,2.28,FL,Black or African-American,5860
962,Costa Mesa,California,34.8,59097.0,54089.0,113186,4095.0,26645.0,2.59,CA,Black or African-American,2925
963,Compton,California,30.1,49264.0,49184.0,98448,897.0,30660.0,4.08,CA,Hispanic or Latino,67523
964,North Richland Hills,Texas,39.9,35257.0,33948.0,69205,5175.0,7854.0,2.64,TX,American Indian and Alaska Native,1127
965,Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,Hispanic or Latino,24586
966,Escondido,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,White,120781
967,Temecula,California,34.2,54407.0,57619.0,112026,7587.0,18884.0,3.34,CA,Hispanic or Latino,36246
968,Independence,Missouri,38.6,54348.0,62907.0,117255,10220.0,4911.0,2.33,MO,Asian,558
969,Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,White,50289
970,Albany,Georgia,33.3,31695.0,39414.0,71109,5409.0,861.0,2.38,GA,White,17160
971,Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,5083.0,13824.0,2.41,NM,White,75494
972,Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,10633.0,12268.0,2.52,LA,White,96730
973,Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,White,78835
974,Raleigh,North Carolina,32.8,219184.0,232765.0,451949,16747.0,65125.0,2.42,NC,Asian,24865
975,Montgomery,Alabama,35.4,94582.0,106004.0,200586,14955.0,9337.0,2.41,AL,Black or African-American,121360
976,Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,Black or African-American,1809
977,Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,5199.0,8948.0,2.6,TN,Asian,7265
978,Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,American Indian and Alaska Native,917
979,Whittier,California,36.1,44397.0,43039.0,87436,2790.0,17145.0,3.11,CA,Black or African-American,1262
980,Apple Valley,California,34.3,32873.0,39312.0,72185,5714.0,5801.0,3.03,CA,Asian,2281
981,The Villages,Florida,70.5,,,72590,15231.0,4034.0,,FL,White,72211
982,West Valley City,Utah,30.7,68235.0,67989.0,136224,4880.0,30712.0,3.81,UT,Asian,9550
983,Cape Coral,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,Black or African-American,7311
984,Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,Black or African-American,10821
985,Delray Beach,Florida,47.9,32219.0,34042.0,66261,4232.0,16639.0,2.35,FL,Hispanic or Latino,6397
986,Medford,Oregon,38.6,39606.0,40189.0,79795,6632.0,6185.0,2.65,OR,White,75464
987,Columbia,Missouri,26.8,56544.0,62554.0,119098,4548.0,10729.0,2.37,MO,Hispanic or Latino,4956
988,Spring Valley,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,American Indian and Alaska Native,2215
989,Enterprise,Nevada,34.1,69146.0,66328.0,135474,7526.0,31173.0,2.89,NV,American Indian and Alaska Native,2777
990,Citrus Heights,California,37.8,41982.0,45071.0,87053,6171.0,9466.0,2.49,CA,Black or African-American,5979
991,Santa Barbara,California,37.8,45068.0,46784.0,91852,4518.0,19441.0,2.51,CA,Asian,4964
992,Chula Vista,California,34.6,131485.0,134269.0,265754,12368.0,82710.0,3.32,CA,White,183753
993,Santa Ana,California,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58,CA,American Indian and Alaska Native,4838
994,McKinney,Texas,35.6,77339.0,85548.0,162887,8082.0,25760.0,2.91,TX,Asian,13882
995,Elgin,Illinois,35.7,54852.0,56224.0,111076,4024.0,30167.0,2.969999999999999,IL,American Indian and Alaska Native,789
996,Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,White,196316
997,Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,Hispanic or Latino,1114
998,Wyoming,Michigan,32.8,35967.0,39310.0,75277,3447.0,8612.0,2.65,MI,Black or African-American,8839
999,Bridgeport,Connecticut,34.1,71509.0,76110.0,147619,4646.0,44475.0,2.86,CT,Black or African-American,53770
1000,Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,American Indian and Alaska Native,2534
1001,Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,Black or African-American,5241
1002,Youngs,Ohio,37.5,30758.0,33851.0,64609,3620.0,1058.0,2.22,OH,Black or African-American,31725
1003,Plantation,Florida,40.6,42881.0,49674.0,92555,4037.0,27902.0,2.73,FL,White,66970
1004,Carlsbad,California,42.1,55119.0,58347.0,113466,6031.0,17689.0,2.68,CA,American Indian and Alaska Native,1513
1005,Clifton,New Jersey,38.5,41932.0,44409.0,86341,2603.0,27979.0,3.11,NJ,Asian,5840
1006,Orem,Utah,26.1,48695.0,45762.0,94457,2828.0,12808.0,3.26,UT,Hispanic or Latino,18342
1007,Brandon,Florida,36.1,55679.0,58289.0,113968,9417.0,16390.0,2.64,FL,White,80811
1008,Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,Black or African-American,51493
1009,Stamford,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,American Indian and Alaska Native,1416
1010,Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA,American Indian and Alaska Native,474
1011,Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,5083.0,13824.0,2.41,NM,Black or African-American,1284
1012,Jacksonville,Florida,35.7,419203.0,448828.0,868031,75432.0,85650.0,2.62,FL,Asian,50895
1013,Miami,Florida,40.4,215840.0,225149.0,440989,7233.0,260789.0,2.5,FL,American Indian and Alaska Native,1571
1014,Sandy Springs,Georgia,35.4,48570.0,56777.0,105347,3015.0,19837.0,2.4,GA,Hispanic or Latino,13670
