Column1;City;State;Median Age;Male Population;Female Population;Total Population;Foreign-born;Average Household Size;State Code;CO;NO2;O3;SO2;PM2.5;PM10
125;High Point;North Carolina;355;517510;580770;109828;163150;265;NC;27704;745;4721;69;581;613
126;Pearland;Texas;339;523360;593290;111665;168820;30;TX;3171;1902;9012;459;708;952
127;Brownsville;Texas;306;876890;961990;183888;533010;348;TX;2470;557;12016;361;998;1201
128;Denton;Texas;287;624780;685690;131047;184510;266;TX;24033;90;4256;38;245;33
130;San Bernardino;California;285;1086710;1074660;216137;551350;355;CA;40054;771;30041;1097;6244;6851
131;Mesquite;Texas;346;692400;758840;145124;267550;296;TX;52071;4593;2325;159;637;1018
132;Sioux Falls;South Dakota;346;865960;849340;171530;129340;238;SD;21029;212;7153;39;285;473
133;Charleston;South Carolina;350;639560;715680;135524;57670;24;SC;23031;279;6509;46;396;408
134;Redwood City;California;371;426760;426240;85300;276520;264;CA;22697;257;8655;106;53;1151
135;Paradise;Nevada;372;1227840;1141620;236946;667120;265;NV;25368;1594;1359;519;1181;2657
136;Upland;California;397;362260;402210;76447;165520;277;CA;4673;1628;3233;1884;7091;7783
137;Paterson;New Jersey;340;706400;771170;147757;498100;337;NJ;40054;6238;2325;1013;746;946
138;Pasco;Washington;286;352980;327990;68097;162650;345;WA;29039;518;4935;44;635;958
139;Lubbock;Texas;292;1223200;1267310;249051;142260;261;TX;21696;527;8225;3;424;801
141;Schenectady;New York;367;323980;329010;65299;109610;2,82E+16;NY;27371;1268;3827;76;422;463
142;Worcester;Massachusetts;349;909510;938550;184806;369070;243;MA;25368;102;5293;72;239;313
143;Cedar Park;Texas;344;312480;335890;64837;52070;305;TX;20695;296;5007;23;323;55
144;Pembroke Pines;Florida;403;770500;895740;166624;622100;294;FL;21696;214;9155;28;444;701
145;West Covina;California;398;516290;568600;108489;370380;356;CA;48733;2913;31757;1836;6391;7223
146;Edmond;Oklahoma;325;451910;448990;90090;55850;268;OK;23699;476;515;7;192;31
147;Columbia;Maryland;379;522020;512650;103467;232490;268;MD;24033;266;608;95;439;463
