,City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,CO,NO2,O3,SO2,PM2.5,PM10
237,San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,5757.0,3.44,AZ,226.97,4.2,108.72,0.58,6.69,15.51
238,Provo,Utah,23.6,56231.0,59027.0,115258,10925.0,3.28,UT,307.08,18.68,63.66,1.58,10.85,14.77
239,Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,23642.0,2.46,FL,236.99,8.65,75.82,0.52,6.0,9.71
241,Alexandria,Virginia,36.6,74989.0,78522.0,153511,44030.0,2.2,VA,297.07,43.18,24.68,35.76,92.47,109.56
242,Portland,Maine,40.3,31480.0,35392.0,66872,9229.0,2.13,ME,270.37,9.34,50.07,3.28,5.26,6.56
243,East Los Angeles,California,32.6,60460.0,59206.0,119666,49575.0,3.75,CA,347.14,22.28,170.23,8.94,24.68,29.08
244,Warren,Michigan,43.2,64063.0,71293.0,135356,18822.0,2.45,MI,293.73,10.37,33.26,1.03,3.22,3.65
246,Auburn,Washington,37.1,36837.0,39743.0,76580,14842.0,2.73,WA,233.65,1.67,90.12,1.82,5.79,6.41
247,Kissimmee,Florida,36.7,33283.0,35869.0,69152,16879.0,3.01,FL,206.95,1.59,90.12,0.21,2.86,4.34
248,Grand Prairie,Texas,33.1,90811.0,96944.0,187755,44888.0,3.18,TX,494.0,56.21,25.75,1.42,5.78,8.84
249,Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10599.0,2.4,TN,213.62,1.27,87.98,1.1,2.42,2.65
251,Ontario,California,31.0,85059.0,86141.0,171200,48557.0,3.52,CA,467.3,16.28,323.3,18.84,70.91,77.83
254,Visalia,California,32.6,63695.0,66399.0,130094,20779.0,3.11,CA,297.07,8.23,118.73,0.95,20.31,25.48
255,Clarksville,Tennessee,29.7,75029.0,74161.0,149190,8211.0,2.64,TN,223.64,3.13,83.69,0.53,1.94,2.12
256,Kennewick,Washington,32.0,38492.0,40411.0,78903,8376.0,2.78,WA,290.39,5.18,49.35,0.44,6.35,9.58
257,Pasadena,Texas,31.5,78827.0,74959.0,153786,38072.0,2.95,TX,347.14,22.28,170.23,8.94,24.68,29.08
258,Saint George,Utah,37.3,38732.0,41475.0,80207,4824.0,2.81,UT,370.5,3.56,90.12,1.68,3.86,6.81
260,Davie,Florida,40.8,48754.0,52140.0,100894,26532.0,2.719999999999999,FL,216.96,2.14,91.55,0.28,4.44,7.01
261,Clearwater,Florida,47.0,55225.0,57754.0,112979,17686.0,2.4,FL,200.27,0.19,91.55,0.21,1.85,5.34
262,Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,34003.0,2.91,FL,223.64,2.7,92.98,0.2,4.78,7.13
263,Pittsburg,California,34.5,33309.0,36118.0,69427,21043.0,3.15,CA,327.11,23.31,10.55,6.26,7.03,7.52
265,Medford,Oregon,38.6,39606.0,40189.0,79795,6185.0,2.65,OR,303.75,22.28,44.7,2.5,4.39,7.6
266,North Richland Hills,Texas,39.9,35257.0,33948.0,69205,7854.0,2.64,TX,247.0,10.28,46.49,0.26,2.43,4.12
267,Skokie,Illinois,43.4,31382.0,33437.0,64819,27424.0,2.78,IL,340.46,38.04,32.9,0.95,4.01,5.87
268,Missouri City,Texas,37.2,34932.0,36846.0,71778,18556.0,3.03,TX,350.48,23.31,86.55,1.25,6.64,9.15
269,Miramar,Florida,36.6,66157.0,70958.0,137115,57179.0,3.41,FL,213.62,2.57,88.69,0.37,4.1,6.54
271,Union City,California,38.5,38599.0,35911.0,74510,32752.0,3.46,CA,247.0,7.8,87.98,1.48,6.72,12.88
272,West Jordan,Utah,30.8,57898.0,54044.0,111942,11492.0,3.46,UT,410.56,45.24,92.98,5.25,38.96,43.55
273,Evansville,Indiana,38.0,57198.0,60481.0,117679,3169.0,2.25,IN,223.64,3.47,80.82,1.7,2.18,2.52
275,The Woodlands,Texas,38.8,56083.0,63061.0,119144,21188.0,2.93,TX,273.71,8.4,77.96,0.9,7.37,9.13
276,Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,22135.0,2.61,FL,208.62,1.35,87.98,0.37,2.37,5.24
278,Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,13708.0,2.66,MI,273.71,6.26,39.7,0.49,2.69,3.06
280,Suffolk,Virginia,38.2,43048.0,45113.0,88161,2829.0,2.719999999999999,VA,233.65,2.87,71.53,0.95,7.42,8.33
281,Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,35320.0,2.48,CO,178.58,2.61,83.69,0.6,1.8,2.08
283,Lewisville,Texas,31.6,52776.0,52032.0,104808,24865.0,2.78,TX,280.38,12.17,62.94,0.45,3.9,5.79
286,Santa Maria,California,30.1,53320.0,51762.0,105082,39192.0,3.83,CA,260.35,2.91,54.36,1.94,10.28,14.85
290,Mount Pleasant,South Carolina,42.7,39429.0,41880.0,81309,4701.0,2.53,SC,243.66,8.31,51.5,0.21,5.08,8.71
295,Schaumburg,Illinois,36.9,35971.0,39840.0,75811,24614.0,2.719999999999999,IL,226.97,5.18,68.67,0.95,1.56,2.22
296,Manteca,California,35.3,37053.0,38397.0,75450,13942.0,3.25,CA,303.75,9.0,191.69,8.23,28.03,32.38
297,Birmingham,Alabama,35.6,102122.0,112789.0,214911,8258.0,2.21,AL,273.71,18.34,7.24,3.99,3.32,3.63
299,Aurora,Colorado,34.2,177899.0,180971.0,358870,65816.0,2.8200000000000003,CO,247.0,10.97,47.21,0.17,1.94,2.7
300,Rockville,Maryland,38.1,31205.0,35793.0,66998,25047.0,2.6,MD,337.12,26.05,54.36,3.01,8.98,9.99
301,Roswell,Georgia,38.8,48637.0,45859.0,94496,16501.0,2.7,GA,226.97,2.01,68.67,1.12,2.96,3.55
302,Knoxville,Tennessee,33.1,89978.0,95334.0,185312,10285.0,2.21,TN,247.0,4.54,55.79,2.03,4.26,4.42
303,San Marcos,California,35.4,45246.0,47688.0,92934,21558.0,3.13,CA,223.64,4.16,70.81,0.3,2.5,4.82
304,Vallejo,California,37.8,58379.0,62890.0,121269,30592.0,2.83,CA,223.64,1.35,101.57,0.67,6.34,9.92
305,San Francisco,California,38.3,439752.0,425064.0,864816,297199.0,2.37,CA,230.31,1.39,87.98,1.01,5.32,12.63
306,Muncie,Indiana,27.4,32446.0,37255.0,69701,1062.0,2.35,IN,226.97,4.07,61.51,1.27,1.8,2.0
309,Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,11888.0,2.58,NM,210.29,1.14,103.0,0.67,10.33,31.98
311,Sioux City,Iowa,34.3,38827.0,43949.0,82776,7471.0,2.5700000000000003,IA,206.95,1.67,75.82,0.69,2.43,4.0
313,Ellicott City,Maryland,42.4,34406.0,36526.0,70932,17587.0,2.73,MD,387.19,35.64,27.54,2.95,8.93,12.06
317,Fontana,California,29.5,100644.0,106828.0,207472,61448.0,4.15,CA,427.25,12.0,277.52,12.88,62.02,67.52
319,Waukegan,Illinois,32.3,45514.0,42833.0,88347,30997.0,2.92,IL,267.03,16.28,47.92,0.62,2.57,3.7
320,Eugene,Oregon,33.4,79071.0,84377.0,163448,14503.0,2.34,OR,247.0,6.08,38.62,1.39,3.36,4.13
321,Hollywood,Florida,41.4,75358.0,74363.0,149721,55158.0,2.65,FL,247.0,6.34,107.29,2.15,6.33,7.35
324,Walnut Creek,California,47.6,31994.0,36912.0,68906,13624.0,2.22,CA,247.0,8.23,92.98,4.53,6.61,11.51
326,San Mateo,California,39.3,50966.0,52558.0,103524,34957.0,2.64,CA,226.97,2.57,86.55,1.06,5.3,11.51
327,Killeen,Texas,29.2,69442.0,71367.0,140809,15769.0,2.719999999999999,TX,250.34,5.44,70.81,0.51,4.67,8.79
329,Mount Vernon,New York,38.5,31876.0,36745.0,68621,23777.0,2.85,NY,226.97,3.64,72.24,0.45,1.73,1.85
331,Akron,Ohio,38.1,96886.0,100667.0,197553,10024.0,2.24,OH,333.79,18.68,17.7,1.28,4.2,5.71
336,Flagstaff,Arizona,23.9,33224.0,37093.0,70317,4262.0,2.55,AZ,168.56,0.36,87.26,0.17,3.9,6.4
338,Davenport,Iowa,35.2,50123.0,52454.0,102577,4065.0,2.39,IA,247.0,8.48,52.21,0.22,2.52,2.84
340,Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,2.56,KS,220.3,4.8,75.1,0.4,2.43,3.62
341,South Bend,Indiana,32.4,50483.0,53274.0,103757,8779.0,2.719999999999999,IN,211.95,3.0,65.8,0.68,1.35,1.6
342,Livonia,Michigan,47.4,45369.0,49264.0,94633,7175.0,2.52,MI,283.72,9.51,33.62,0.84,3.16,3.65
343,Bloomington,Minnesota,40.9,43318.0,43118.0,86436,10728.0,2.3,MN,216.96,2.83,69.38,0.65,1.24,1.42
347,Beaumont,Texas,31.6,57326.0,60784.0,118110,10516.0,2.47,TX,247.0,2.91,125.89,1.24,10.08,11.89
348,Phoenix,Arizona,33.8,786833.0,776168.0,1563001,300702.0,2.89,AZ,250.34,7.63,150.2,3.34,11.92,20.26
351,Torrance,California,41.2,73209.0,75259.0,148468,43096.0,2.7,CA,320.44,16.79,150.2,4.17,16.64,21.05
354,Loveland,Colorado,37.6,37042.0,38146.0,75188,3050.0,2.53,CO,230.31,7.2,95.84,1.46,4.43,5.12
355,Buena Park,California,35.7,41593.0,41671.0,83264,28430.0,3.55,CA,514.03,52.09,194.55,20.98,38.15,45.68
357,McKinney,Texas,35.6,77339.0,85548.0,162887,25760.0,2.91,TX,280.38,16.11,36.84,0.22,2.4,3.96
358,Temecula,California,34.2,54407.0,57619.0,112026,18884.0,3.34,CA,300.41,3.6,191.69,4.83,26.64,29.94
361,New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,19024.0,2.39,MA,240.33,4.28,65.09,0.94,3.51,6.36
362,Toledo,Ohio,36.1,135455.0,144323.0,279778,9257.0,2.29,OH,208.62,0.83,80.11,0.34,2.54,4.08
364,Avondale,Arizona,29.1,38712.0,41971.0,80683,8355.0,3.18,AZ,206.95,1.33,128.75,1.04,7.81,15.6
365,Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,17490.0,2.85,MN,277.04,12.34,60.08,1.33,4.85,5.87
367,Inglewood,California,34.9,52995.0,58661.0,111656,34171.0,3.12,CA,320.44,16.79,150.2,4.17,16.64,21.05
370,Chicago,Illinois,34.2,1320015.0,1400541.0,2720556,573463.0,2.53,IL,407.22,50.72,14.84,2.21,5.51,7.72
371,Boca Raton,Florida,47.3,44760.0,48466.0,93226,21117.0,2.22,FL,236.99,8.65,75.82,0.52,6.0,9.71
373,Overland Park,Kansas,38.2,93355.0,93156.0,186511,21407.0,2.41,KS,293.73,18.51,62.94,4.59,5.89,6.92
374,Oshkosh,Wisconsin,33.0,32905.0,33652.0,66557,2348.0,2.3,WI,267.03,14.57,24.68,0.27,1.27,1.64
376,Fort Myers,Florida,37.3,36850.0,37165.0,74015,15365.0,2.45,FL,220.3,1.46,98.71,0.31,4.61,7.07
379,Pasadena,California,37.6,67712.0,74534.0,142246,40779.0,2.63,CA,347.14,22.28,170.23,8.94,24.68,29.08
381,Indio,California,35.9,43803.0,43723.0,87526,22538.0,3.08,CA,226.97,1.39,127.32,0.82,8.99,11.52
382,Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,18033.0,2.41,MI,277.04,6.6,37.19,0.58,3.1,3.36
383,Baldwin Park,California,35.8,38747.0,38309.0,77056,34322.0,4.13,CA,487.33,29.13,317.57,18.36,63.91,72.23
384,Bellevue,Washington,37.4,70763.0,69051.0,139814,54654.0,2.43,WA,293.73,12.85,41.13,3.1,4.28,6.1
385,Gary,Indiana,38.1,35876.0,41478.0,77354,1884.0,2.35,IN,267.03,18.68,60.8,3.87,2.95,4.61
386,Dayton,Ohio,32.8,66631.0,73966.0,140597,7381.0,2.26,OH,236.99,5.83,50.78,0.81,1.74,1.94
387,Laguna Niguel,California,45.8,30193.0,35619.0,65812,12571.0,2.58,CA,267.03,7.54,133.04,3.55,12.63,18.77
389,Syracuse,New York,30.3,69462.0,74690.0,144152,17733.0,2.39,NY,233.65,2.01,103.0,22.41,58.42,202.62
391,Indianapolis,Indiana,34.1,410615.0,437808.0,848423,72456.0,2.53,IN,240.33,8.4,67.23,1.48,2.55,3.05
392,San Jose,California,36.5,518317.0,508602.0,1026919,401493.0,3.13,CA,317.1,12.51,153.07,4.53,22.79,27.94
393,Topeka,Kansas,37.1,60879.0,66378.0,127257,6711.0,2.32,KS,220.3,5.83,51.5,2.27,1.93,2.93
394,Arvada,Colorado,41.0,54870.0,60165.0,115035,4921.0,2.49,CO,323.77,21.94,95.84,2.8,9.73,11.22
395,Chula Vista,California,34.6,131485.0,134269.0,265754,82710.0,3.32,CA,257.02,4.97,141.62,3.13,18.1,24.1
396,Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,2.47,NE,247.0,8.05,69.38,0.61,3.34,5.11
397,Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,28613.0,2.34,KY,230.31,3.47,65.8,2.15,2.34,2.5
398,Yakima,Washington,34.0,45147.0,48553.0,93700,15717.0,2.74,WA,240.33,4.58,59.37,0.18,3.28,3.76
399,Wichita Falls,Texas,34.0,55775.0,48934.0,104709,9855.0,2.41,TX,307.08,16.11,53.64,0.31,5.96,7.6
400,Huntsville,Alabama,38.1,91764.0,97350.0,189114,12691.0,2.18,AL,220.3,2.34,75.1,0.54,2.16,2.44
402,Beaverton,Oregon,35.6,47325.0,49252.0,96577,18933.0,2.46,OR,,,,,,
405,Union City,New Jersey,35.4,35376.0,33773.0,69149,40553.0,2.85,NJ,247.0,7.8,87.98,1.48,6.72,12.88
410,Framingham,Massachusetts,40.3,35442.0,35768.0,71210,19070.0,2.49,MA,,,,,,
411,Cape Coral,Florida,45.0,85626.0,89604.0,175230,24185.0,2.85,FL,,,,,,
412,Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,3803.0,2.68,MO,,,,,,
413,Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,80165.0,2.58,OK,,,,,,
414,McAllen,Texas,32.3,68332.0,71921.0,140253,37691.0,3.19,TX,,,,,,
416,Odessa,Texas,31.2,61119.0,57861.0,118980,15845.0,2.92,TX,,,,,,
418,Asheville,North Carolina,37.9,42100.0,46407.0,88507,6630.0,2.18,NC,,,,,,
420,Spokane,Washington,36.6,102756.0,110511.0,213267,13253.0,2.34,WA,,,,,,
422,Racine,Wisconsin,33.7,39314.0,38423.0,77737,4403.0,2.56,WI,,,,,,
424,Carrollton,Texas,36.9,66928.0,66218.0,133146,35327.0,2.78,TX,,,,,,
425,Lafayette,Louisiana,31.7,64018.0,63643.0,127661,5396.0,2.54,LA,,,,,,
426,Gresham,Oregon,36.7,53866.0,56716.0,110582,17860.0,2.67,OR,,,,,,
427,Norwalk,Connecticut,42.4,40880.0,47603.0,88483,22328.0,2.7,CT,253.68,9.08,60.08,1.1,2.74,3.37
430,Menifee,California,37.1,42866.0,44297.0,87163,12481.0,3.06,CA,,,,,,
431,Yorba Linda,California,45.5,31960.0,36006.0,67966,15532.0,3.0,CA,,,,,,
432,Livermore,California,36.7,41522.0,46595.0,88117,13959.0,2.91,CA,,,,,,
434,Saint Charles,Missouri,34.9,32054.0,36747.0,68801,5274.0,2.33,MO,,,,,,
436,Hesperia,California,29.4,43588.0,49698.0,93286,16667.0,3.52,CA,,,,,,
437,Baltimore,Maryland,34.7,294027.0,327822.0,621849,49857.0,2.51,MD,,,,,,
439,Whittier,California,36.1,44397.0,43039.0,87436,17145.0,3.11,CA,,,,,,
440,College Station,Texas,22.9,54125.0,53774.0,107899,16145.0,2.52,TX,,,,,,
441,Layton,Utah,29.5,37748.0,36394.0,74142,4268.0,3.24,UT,,,,,,
444,Roseville,California,38.4,62591.0,67691.0,130282,18161.0,2.719999999999999,CA,,,,,,
448,Cleveland,Ohio,36.0,186436.0,201623.0,388059,18830.0,2.24,OH,,,,,,
450,Waco,Texas,29.3,63452.0,68890.0,132342,14235.0,2.5700000000000003,TX,,,,,,
451,Tempe,Arizona,28.8,91350.0,84476.0,175826,26620.0,2.44,AZ,,,,,,
452,Concord,North Carolina,35.7,42732.0,44961.0,87693,8847.0,2.719999999999999,NC,247.0,7.37,50.78,1.19,2.79,3.42
453,Ames,Iowa,23.0,33814.0,31238.0,65052,8606.0,2.16,IA,,,,,,
454,Canton,Ohio,33.4,34476.0,37419.0,71895,2204.0,2.32,OH,,,,,,
455,Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,28187.0,2.13,PA,,,,,,
456,Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,33878.0,3.18,CA,,,,,,
457,Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,19146.0,2.45,IN,,,,,,
459,North Charleston,South Carolina,30.7,56549.0,55315.0,111864,8789.0,2.8200000000000003,SC,,,,,,
461,Riverview,Florida,32.2,44210.0,45536.0,89746,12240.0,3.22,FL,,,,,,
462,San Clemente,California,45.2,34076.0,31456.0,65532,8109.0,2.64,CA,,,,,,
463,Plantation,Florida,40.6,42881.0,49674.0,92555,27902.0,2.73,FL,,,,,,
464,Olathe,Kansas,33.0,65046.0,69270.0,134316,11913.0,2.969999999999999,KS,,,,,,
472,Virginia Beach,Virginia,35.4,222684.0,230061.0,452745,38360.0,2.61,VA,,,,,,
475,Renton,Washington,36.3,52779.0,47468.0,100247,28962.0,2.5700000000000003,WA,,,,,,
476,Lawrence,Kansas,27.4,45592.0,48324.0,93916,8701.0,2.53,KS,,,,,,
477,Grand Rapids,Michigan,32.1,95669.0,99430.0,195099,19176.0,2.56,MI,,,,,,
479,Miami,Florida,40.4,215840.0,225149.0,440989,260789.0,2.5,FL,,,,,,
480,Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,6295.0,2.46,PA,,,,,,
482,Orlando,Florida,33.1,130940.0,139977.0,270917,50558.0,2.42,FL,,,,,,
485,Sacramento,California,33.7,237724.0,252991.0,490715,112579.0,2.73,CA,,,,,,
486,Vancouver,Washington,37.2,82958.0,89895.0,172853,21748.0,2.49,WA,,,,,,
488,Washington,District of Columbia,33.8,319705.0,352523.0,672228,95117.0,2.24,DC,,,,,,
489,Rancho Cordova,California,33.8,34844.0,36182.0,71026,17020.0,2.86,CA,,,,,,
491,South Jordan,Utah,33.8,33669.0,32970.0,66639,6142.0,3.61,UT,,,,,,
493,Trenton,New Jersey,33.3,42581.0,41650.0,84231,20428.0,3.04,NJ,,,,,,
494,Pleasanton,California,41.3,36662.0,42857.0,79519,23208.0,2.87,CA,,,,,,
495,Southfield,Michigan,41.6,31369.0,41808.0,73177,4011.0,2.27,MI,,,,,,
496,San Angelo,Texas,32.8,49669.0,50744.0,100413,7859.0,2.5,TX,,,,,,
497,Denver,Colorado,34.1,341137.0,341408.0,682545,113222.0,2.33,CO,,,,,,
501,Greeley,Colorado,31.0,50792.0,50091.0,100883,11480.0,2.75,CO,,,,,,
503,Tustin,California,33.4,39511.0,41052.0,80563,25034.0,3.27,CA,,,,,,
509,Shawnee,Kansas,40.1,32313.0,32745.0,65058,4136.0,2.64,KS,,,,,,
512,Somerville,Massachusetts,31.0,41028.0,39306.0,80334,22292.0,2.43,MA,,,,,,
514,Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,2.63,NV,,,,,,
520,Rialto,California,31.6,49902.0,53235.0,103137,32741.0,3.83,CA,400.54,7.71,300.41,10.97,62.44,68.51
521,Pomona,California,32.1,74945.0,78307.0,153252,53879.0,3.63,CA,,,,,,
524,Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,7443.0,2.55,WI,,,,,,
527,Garden Grove,California,37.8,86779.0,88605.0,175384,80677.0,3.66,CA,,,,,,
530,Detroit,Michigan,34.8,319265.0,357859.0,677124,39861.0,2.6,MI,320.44,19.71,22.53,2.3,4.01,4.88
531,Temple,Texas,33.6,33512.0,38785.0,72297,3968.0,2.59,TX,216.96,3.56,90.12,0.54,4.13,7.74
532,Mountain View,California,33.5,42493.0,37945.0,80438,31857.0,2.46,CA,226.97,2.79,101.57,1.27,7.67,12.28
536,Scottsdale,Arizona,46.9,115712.0,121132.0,236844,27207.0,2.17,AZ,236.99,5.31,153.07,3.22,11.23,19.55
539,New Britain,Connecticut,33.4,37350.0,35459.0,72809,15080.0,2.52,CT,191.93,0.02,9.03,20.74,28.56,28.63
541,Kenner,Louisiana,36.9,33993.0,33113.0,67106,12352.0,2.5700000000000003,LA,,,,,,
542,Allen,Pennsylvania,33.5,60626.0,59581.0,120207,19652.0,2.67,PA,,,,,,
546,Gulfport,Mississippi,35.1,33108.0,38764.0,71872,3072.0,2.54,MS,,,,,,
547,Wilmington,North Carolina,35.5,52346.0,63601.0,115947,7401.0,2.24,NC,267.03,13.37,60.8,2.44,2.69,3.53
548,Centreville,Virginia,36.0,34749.0,37033.0,71782,27797.0,2.969999999999999,VA,,,,,,
550,Escondido,California,33.3,76551.0,74907.0,151458,46298.0,3.27,CA,,,,,,
554,Fishers,Indiana,34.5,42161.0,43910.0,86071,6138.0,2.8,IN,,,,,,
555,Brandon,Florida,36.1,55679.0,58289.0,113968,16390.0,2.64,FL,,,,,,
560,Kendall,Florida,40.2,36658.0,39808.0,76466,31180.0,2.81,FL,,,,,,
561,Albany,New York,32.8,47627.0,50825.0,98452,11948.0,2.08,NY,283.72,14.91,44.7,1.24,4.04,4.5
566,Danbury,Connecticut,37.3,43435.0,41227.0,84662,25675.0,2.74,CT,,,,,,
570,Hemet,California,36.8,38622.0,45251.0,83873,13330.0,2.969999999999999,CA,,,,,,
572,Thornton,Colorado,33.1,65482.0,67977.0,133459,17949.0,2.969999999999999,CO,,,,,,
573,Columbia,South Carolina,28.0,67686.0,65707.0,133393,6074.0,2.32,SC,240.33,2.66,60.8,0.95,4.39,4.63
574,Enterprise,Nevada,34.1,69146.0,66328.0,135474,31173.0,2.89,NV,,,,,,
577,Bk,California,37.0,50405.0,54909.0,105314,32435.0,2.52,CA,,,,,,
578,Houston,Texas,32.6,1149686.0,1148942.0,2298628,696210.0,2.66,TX,,,,,,
579,Oceanside,California,39.4,87482.0,88232.0,175714,37492.0,2.719999999999999,CA,,,,,,
580,Orange,California,35.0,67337.0,73658.0,140995,34550.0,3.14,CA,,,,,,
585,Carlsbad,California,42.1,55119.0,58347.0,113466,17689.0,2.68,CA,,,,,,
586,Silver Spring,Maryland,33.8,40601.0,41862.0,82463,30908.0,2.6,MD,,,,,,
588,Corpus Christi,Texas,35.0,160488.0,163594.0,324082,30834.0,2.69,TX,300.41,16.28,87.26,4.83,8.88,10.24
589,Montgomery,Alabama,35.4,94582.0,106004.0,200586,9337.0,2.41,AL,240.33,3.56,94.41,2.24,6.13,6.78
592,Ogden,Utah,31.3,44323.0,41127.0,85450,12791.0,2.68,UT,,,,,,
593,Nashua,New Hampshire,38.3,42926.0,45049.0,87975,12693.0,2.46,NH,,,,,,
597,Lakeland,Florida,38.1,47840.0,56570.0,104410,11592.0,2.56,FL,,,,,,
607,Boynton Beach,Florida,45.8,33701.0,40271.0,73972,15431.0,2.45,FL,,,,,,
609,Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,8948.0,2.6,TN,,,,,,
614,Champaign,Illinois,28.7,43326.0,42760.0,86086,12261.0,2.25,IL,,,,,,
615,Pueblo,Colorado,37.6,55635.0,53784.0,109419,3578.0,2.44,CO,,,,,,
616,Sugar Land,Texas,42.1,43889.0,44240.0,88129,31169.0,2.95,TX,,,,,,
619,North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,49815.0,3.31,NV,,,,,,
623,Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,6313.0,2.28,AR,267.03,9.08,47.92,1.07,4.29,8.32
624,Irvine,California,34.6,125411.0,131516.0,256927,116366.0,2.73,CA,,,,,,
625,Youngs,Ohio,37.5,30758.0,33851.0,64609,1058.0,2.22,OH,,,,,,
627,Modesto,California,35.2,104852.0,106405.0,211257,39613.0,2.969999999999999,CA,,,,,,
629,Lake Charles,Louisiana,31.8,35678.0,40388.0,76066,3215.0,2.36,LA,,,,,,
630,Plymouth,Minnesota,38.4,39035.0,36893.0,75928,8830.0,2.46,MN,,,,,,
634,Santa Monica,California,40.6,46732.0,46487.0,93219,24448.0,2.0,CA,,,,,,
636,Bakersfield,California,30.6,182154.0,191473.0,373627,71575.0,3.23,CA,,,,,,
637,Cranston,Rhode Island,39.9,38365.0,42712.0,81077,10631.0,2.56,RI,,,,,,
641,Arlington,Texas,32.6,191060.0,197062.0,388122,79271.0,2.89,TX,420.57,33.24,44.35,1.62,5.11,7.54
642,Lauderhill,Florida,35.7,32813.0,38761.0,71574,25471.0,3.02,FL,,,,,,
645,Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,9813.0,2.37,WI,,,,,,
654,Lincoln,Nebraska,32.3,138544.0,138802.0,277346,22958.0,2.4,NE,,,,,,
655,Perris,California,26.9,41623.0,33336.0,74959,23277.0,4.78,CA,,,,,,
658,Meridian,Idaho,38.0,43353.0,47400.0,90753,8110.0,2.54,ID,,,,,,
659,Spring Hill,Florida,45.1,48295.0,54902.0,103197,7893.0,2.58,FL,,,,,,
666,Bend,Oregon,37.3,42294.0,44723.0,87017,3032.0,2.39,OR,,,,,,
667,Huntington Beach,California,41.6,99967.0,101960.0,201927,35368.0,2.67,CA,,,,,,
680,Los Angeles,California,35.0,1958998.0,2012898.0,3971896,1485425.0,2.86,CA,,,,,,
683,San Juan,Puerto Rico,41.4,155408.0,186829.0,342237,,,PR,,,,,,
687,Simi Valley,California,39.0,63243.0,63523.0,126766,23260.0,3.13,CA,,,,,,
690,Roanoke,Virginia,36.9,47252.0,52645.0,99897,7346.0,2.35,VA,,,,,,
692,Hialeah,Florida,43.0,111530.0,125552.0,237082,170148.0,3.31,FL,,,,,,
693,Lafayette,Indiana,33.5,34313.0,36857.0,71170,5697.0,2.19,IN,,,,,,
696,Palm Bay,Florida,40.7,51767.0,56128.0,107895,12070.0,2.8200000000000003,FL,,,,,,
701,Fort Worth,Texas,32.6,414126.0,422843.0,836969,143404.0,2.88,TX,,,,,,
702,Bellingham,Washington,30.7,41286.0,43857.0,85143,8713.0,2.44,WA,,,,,,
710,Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,101312.0,2.69,HI,,,,,,
714,Independence,Missouri,38.6,54348.0,62907.0,117255,4911.0,2.33,MO,,,,,,
717,Peoria,Arizona,36.9,80139.0,91103.0,171242,14260.0,2.969999999999999,AZ,273.71,13.71,40.41,0.19,2.9,3.4
722,Fall River,Massachusetts,39.3,43314.0,45456.0,88770,14775.0,2.21,MA,,,,,,
724,Yuba City,California,34.5,33654.0,33290.0,66944,18032.0,2.9,CA,,,,,,
725,Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,4706.0,2.67,AL,,,,,,
727,Palatine,Illinois,38.0,36506.0,32763.0,69269,21760.0,2.69,IL,,,,,,
731,Napa,California,37.2,39828.0,40601.0,80429,18449.0,2.84,CA,,,,,,
736,Franklin,Tennessee,38.3,34991.0,37644.0,72635,6876.0,2.73,TN,,,,,,
738,Nampa,Idaho,31.4,45651.0,44199.0,89850,6607.0,2.98,ID,,,,,,
744,Cheektowaga,New York,40.7,37476.0,38599.0,76075,3532.0,2.3,NY,,,,,,
746,Plano,Texas,38.1,138565.0,145054.0,283619,74030.0,2.65,TX,,,,,,
748,Merced,California,29.7,40048.0,42392.0,82440,16348.0,3.15,CA,,,,,,
750,Salem,Oregon,35.4,80839.0,83704.0,164543,19668.0,2.69,OR,,,,,,
754,Lowell,Massachusetts,33.4,54422.0,56298.0,110720,33414.0,2.8,MA,,,,,,
756,Glen Burnie,Maryland,36.5,33398.0,36461.0,69859,6971.0,2.58,MD,,,,,,
