,City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,Average Household Size,State Code,CO,NO2,O3,SO2,PM2.5,PM10
51,Buffalo,New York,33.1,124537.0,133529.0,258066,24630.0,2.27,NY,367.17,25.71,18.24,1.97,5.45,6.39
52,Richmond,Virginia,33.6,104793.0,115496.0,220289,15741.0,2.29,VA,290.39,9.51,45.78,0.49,5.83,6.09
53,Santa Ana,California,30.8,167503.0,167920.0,335423,152999.0,4.58,CA,313.76,23.99,138.76,13.47,14.79,19.29
54,Sunnyvale,California,35.7,79480.0,72280.0,151760,71441.0,2.74,CA,226.97,2.79,101.57,1.27,7.67,12.28
55,Augusta-Richmond County consolidated government,Georgia,33.7,94662.0,101917.0,196579,7915.0,2.67,GA,,,,,,
56,Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,58321.0,2.51,WI,287.06,19.71,38.98,0.41,2.1,2.94
57,Conroe,Texas,31.5,34907.0,33685.0,68592,13839.0,2.65,TX,250.34,5.83,57.22,0.55,4.82,6.76
58,Savannah,Georgia,30.3,69389.0,76295.0,145684,10355.0,2.5700000000000003,GA,223.64,2.4,60.08,0.36,3.25,3.54
59,German,Maryland,34.9,41115.0,43007.0,84122,27877.0,2.95,MD,196.93,0.67,85.83,6.32,16.55,48.86
60,Costa Mesa,California,34.8,59097.0,54089.0,113186,26645.0,2.59,CA,313.76,23.99,138.76,13.47,14.79,19.29
61,New Haven,Connecticut,29.9,63765.0,66545.0,130310,25871.0,2.48,CT,250.34,7.63,59.37,0.78,2.31,2.89
62,Westland,Michigan,39.9,37742.0,44253.0,81995,6429.0,2.41,MI,263.69,5.1,39.34,0.4,3.18,3.31
63,Waldorf,Maryland,33.6,35640.0,39872.0,75512,5954.0,2.69,MD,216.96,5.48,28.61,0.61,1.13,1.54
64,Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,5404.0,2.32,IA,240.33,4.71,55.79,0.1,3.09,3.46
65,Troy,Michigan,43.3,42371.0,40905.0,83276,21004.0,2.59,MI,283.72,14.91,44.7,1.24,4.04,4.5
66,Kirkland,Washington,40.8,42159.0,45108.0,87267,18570.0,2.3,WA,293.73,12.85,41.13,3.1,4.28,6.1
67,Santa Barbara,California,37.8,45068.0,46784.0,91852,19441.0,2.51,CA,206.95,0.36,87.98,0.08,3.75,4.08
68,Lake Forest,California,40.3,41515.0,40982.0,82497,20784.0,2.76,CA,267.03,16.28,47.92,0.62,2.57,3.7
69,Chino,California,36.5,50989.0,34610.0,85599,18666.0,3.62,CA,467.3,16.28,323.3,18.84,70.91,77.83
70,Tucson,Arizona,33.6,264893.0,266781.0,531674,82220.0,2.45,AZ,203.61,1.15,118.73,0.69,6.27,16.14
71,Boise,Idaho,34.9,110099.0,108181.0,218280,13409.0,2.61,ID,226.97,2.49,92.98,0.43,7.43,21.92
72,Joliet,Illinois,33.1,70863.0,79162.0,150025,22409.0,3.13,IL,257.02,10.2,52.93,0.47,2.47,3.45
73,Metairie,Louisiana,41.6,69515.0,76943.0,146458,19871.0,2.39,LA,283.72,15.94,131.61,8.11,10.19,11.79
74,Moreno Valley,California,30.7,98584.0,105597.0,204181,54442.0,3.9,CA,467.3,10.88,343.32,15.02,69.89,75.93
75,Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,63413.0,3.18,NJ,323.77,34.96,40.05,6.14,4.33,6.15
76,Wyoming,Michigan,32.8,35967.0,39310.0,75277,8612.0,2.65,MI,213.62,2.68,61.51,0.53,0.5,0.62
77,Norman,Oklahoma,30.9,59483.0,60814.0,120297,8705.0,2.47,OK,473.98,41.13,36.48,1.16,6.44,7.71
78,Frisco,Texas,37.2,73989.0,80399.0,154388,30913.0,3.05,TX,280.38,12.17,62.94,0.45,3.9,5.79
79,Waterloo,Iowa,37.2,34488.0,33969.0,68457,5082.0,2.42,IA,247.0,5.83,66.52,0.37,4.44,4.75
80,Oakland,California,35.7,203827.0,215451.0,419278,113896.0,2.56,CA,247.0,5.01,88.69,2.09,5.07,10.53
81,Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3222.0,2.44,AR,240.33,4.11,53.64,0.29,3.69,3.99
82,Springfield,Missouri,34.1,81057.0,85741.0,166798,7765.0,2.12,MO,226.97,4.46,54.36,0.34,1.81,2.08
83,Mission,Texas,32.9,40530.0,42777.0,83307,22608.0,3.51,TX,226.97,1.34,88.69,0.52,7.93,9.62
84,Midland,Texas,32.1,66595.0,66355.0,132950,17061.0,2.78,TX,220.3,6.0,76.53,0.25,3.32,5.98
85,Lansing,Michigan,31.4,54333.0,59777.0,114110,8371.0,2.39,MI,206.95,3.0,35.41,0.28,0.57,0.64
86,Springdale,Arkansas,31.8,36840.0,43614.0,80454,19969.0,3.04,AR,267.03,9.08,47.92,1.07,4.29,8.32
87,Bay,Texas,32.9,37977.0,37508.0,75485,13192.0,2.59,TX,226.97,2.12,55.08,0.3,0.5,0.52
88,Apple Valley,California,34.3,32873.0,39312.0,72185,5801.0,3.03,CA,250.34,6.94,64.37,0.95,3.75,4.81
89,Brockton,Massachusetts,35.2,46273.0,49041.0,95314,27313.0,2.88,MA,263.69,11.31,54.36,1.55,3.17,6.08
90,Poinciana,Florida,34.2,38142.0,35801.0,73943,14349.0,3.93,FL,213.62,3.13,94.41,0.61,3.04,4.48
91,Davis,California,26.3,33493.0,34163.0,67656,13997.0,2.69,CA,223.64,1.86,133.04,0.3,10.24,12.1
92,Springfield,Massachusetts,31.8,74744.0,79592.0,154336,16226.0,2.81,MA,226.97,4.46,54.36,0.34,1.81,2.08
94,Saint Louis,Missouri,35.0,153026.0,162659.0,315685,21802.0,2.16,MO,313.76,20.05,36.84,0.53,3.37,4.76
95,Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,31880.0,3.55,FL,226.97,2.29,94.41,0.31,5.18,7.73
96,Henderson,Nevada,42.5,139412.0,146246.0,285658,35666.0,2.55,NV,201.94,7.11,121.59,1.85,7.55,19.41
97,Frederick,Maryland,36.1,33146.0,36336.0,69482,14211.0,2.48,MD,297.07,11.48,25.39,0.6,6.32,6.94
98,Vacaville,California,35.8,50091.0,46703.0,96794,10577.0,2.9,CA,226.97,1.76,121.59,0.48,9.55,12.33
101,Laredo,Texas,28.8,124305.0,131484.0,255789,68427.0,3.66,TX,580.79,22.62,50.07,1.31,11.15,13.85
103,El Cajon,California,32.7,54450.0,49238.0,103688,31865.0,3.14,CA,380.52,10.28,257.49,10.73,50.52,58.92
104,Lorain,Ohio,35.6,30844.0,32807.0,63651,1531.0,2.52,OH,277.04,12.0,39.7,4.65,4.54,4.8
105,Johns Creek,Georgia,39.0,40282.0,43057.0,83339,29000.0,3.19,GA,230.31,1.89,66.52,0.79,2.78,3.27
106,Cicero,Illinois,28.5,43153.0,40714.0,83867,33801.0,3.89,IL,407.22,50.72,14.84,2.21,5.51,7.72
107,Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,5200.0,2.86,NM,163.56,0.42,77.96,0.41,3.4,13.79
108,Atlanta,Georgia,33.8,223960.0,239915.0,463875,32016.0,2.15,GA,250.34,7.63,77.96,4.83,5.13,5.78
110,Concord,California,39.6,62310.0,66358.0,128668,37428.0,2.719999999999999,CA,247.0,7.37,50.78,1.19,2.79,3.42
111,Marysville,Washington,33.2,33436.0,33337.0,66773,7721.0,2.79,WA,320.44,15.42,32.54,5.07,6.39,7.19
112,South San Francisco,California,39.4,34177.0,33094.0,67271,27528.0,3.33,CA,230.31,1.39,87.98,1.01,5.32,12.63
